X_IMAGE,Y_IMAGE,Label
1153.2223,1.3969,1
6731.7959,1.3676,1
901.2328,1.8021,1
1527.5868,1.9867,1
2087.645,1.8109,1
2228.9543,1.7349,1
3176.8777,1.7916,1
6177.0708,1.7705,1
6529.4048,1.7781,1
6604.4888,1.7899,1
9110.1113,1.8809,1
4134.3618,1.6114,1
5727.9561,1.4644,0
7962.7715,3.0267,1
372.9008,1.8958,1
1582.4937,1.9624,1
1744.4388,2.1915,0
1829.1443,2.1908,0
2632.4509,2.0809,1
2752.9919,2.534,1
6268.6538,2.0241,0
9084.4541,2.1253,1
7686.4028,4.7818,0
8522.0781,1.7746,0
7290.04,1.7958,1
7020.3267,1.8973,0
1691.1083,1.7882,1
3329.7053,2.0244,1
717.6408,4.6442,1
3837.5005,2.7466,1
4046.5273,2.2094,0
1782.6755,2.2331,0
2255.5471,2.5637,1
2424.0273,2.8105,1
3826.5234,2.7615,1
4930.4404,2.3148,1
6033.9175,2.1667,0
6772.8623,2.4216,1
7574.439,2.6565,1
3889.4041,1.7929,1
1710.0205,2.1649,0
1683.4069,2.1439,1
4468.8936,2.2885,1
7836.3652,2.2836,0
8894.0596,2.3815,1
7372.1309,2.0914,1
7077.9634,2.3752,1
5417.6807,2.1002,1
3411.3738,2.194,1
5478.269,2.7369,0
7649.501,2.2703,1
709.8667,4.0037,1
3765.9177,6.445,0
6658.6431,6.319,1
6622.5015,7.6732,1
6766.3428,7.6631,1
7483.8604,7.431,0
3371.585,3.5612,1
3772.8022,3.0517,0
5576.7852,2.3446,0
5884.8809,2.4807,1
6067.7759,3.6505,1
7329.3105,3.2497,1
5101.4053,3.3194,0
1763.7222,8.7154,0
3553.7043,2.1669,1
1863.7294,1.8225,0
4340.2778,2.4637,1
5085.5054,2.9995,0
3346.9695,2.1729,1
7112.9048,2.2213,1
5407.333,2.3302,1
1931.7811,2.5441,0
3645.2041,3.0608,1
4991.1978,4.6962,1
1802.1843,9.4917,0
5724.1934,5.63,0
780.6812,8.2269,1
1098.6875,10.3327,1
20.5333,3.0826,1
311.2721,3.3658,1
2204.002,2.6229,1
3233.0547,2.576,1
4490.27,2.7413,1
5266.2808,3.4218,1
6256.1396,2.8714,0
9131.9297,3.8543,1
9148.4502,3.5853,1
4503.9849,1.9786,1
5849.437,3.0622,0
636.1188,2.5864,1
5289.0884,2.5603,1
5386.7959,2.979,1
1839.5457,4.9793,0
4772.0303,5.0232,0
7021.1494,11.1546,0
2650.3538,4.6397,1
2763.7107,3.7834,1
4126.189,3.4044,1
5628.7026,3.4493,0
6673.6953,3.2698,1
6909.7061,2.768,0
6923.9922,3.0041,0
7151.814,3.737,1
8521.0146,7.3671,0
4227.3857,2.649,0
1526.7889,9.2814,1
1536.0211,2.737,1
5381.4185,9.2759,1
8308.8604,2.8619,0
6789.1006,2.7818,1
7015.8394,7.4799,0
7431.5186,3.4673,1
8864.3457,12.0704,1
843.7402,2.9414,1
7106.498,5.2729,1
494.3763,4.1835,1
4455.6504,3.4277,0
7549.6606,2.5242,0
3745.6155,2.7136,0
5125.0156,6.121,0
5109.0688,5.871,0
227.6214,8.02,1
8281.9893,7.6244,1
1520.5023,5.0844,1
8268.6455,8.9358,1
4381.2378,6.7893,1
8318.3428,6.7754,0
8582.1914,14.021,1
1205.229,16.4389,0
3576.8181,6.2461,1
2120.106,3.9059,0
5958.2983,4.9624,0
345.5763,3.6607,1
6882.2002,3.8862,0
2667.8611,9.3711,1
6786.6387,9.5517,1
6684.5874,3.3812,1
2099.3782,4.7563,1
60.9974,2.9769,1
3783.5876,14.9926,0
5231.9204,3.0769,1
7169.7383,3.9304,0
625.3389,2.9015,1
382.7059,3.9746,1
8816.1455,2.9901,1
3418.79,2.868,1
5450.002,4.0415,1
7947.75,7.7097,1
7909.813,3.2148,1
7636.6914,2.7091,1
359.4888,6.0623,1
6724.8164,6.1231,1
5030.0381,11.0982,1
4478.3311,13.433,1
8887.9053,8.3462,1
3382.842,5.7958,0
3413.4744,8.7705,1
4233.7051,6.8861,1
1852.043,9.0569,1
3898.9912,10.5309,1
3386.0247,14.4259,1
6179.2207,11.2602,1
1771.4893,4.5291,0
3562.1436,3.7291,1
8304.9053,7.7306,0
155.8385,8.6232,1
5431.2803,10.6779,1
8131.4551,3.4825,1
5242.1895,4.434,1
3129.967,15.4023,1
5550.8926,17.7379,0
628.8294,10.5644,1
1080.8047,2.74,1
5393.3086,11.0299,1
524.8964,3.6632,1
3687.6558,5.6232,0
8765.5664,6.3206,1
8800.6846,4.1211,1
4759.6211,9.275,1
3887.7131,8.9436,1
6678.5352,11.8789,1
4483.8838,11.2685,1
3542.3582,11.3247,1
8155.1011,16.4147,1
7642.6816,8.9822,1
3557.8857,15.968,1
4505.9858,7.008,1
7285.9199,7.5496,1
8154.853,7.7775,1
2100.1643,11.8736,1
4216.8457,12.6135,1
3548.7065,15.0171,1
8900.6221,7.0625,1
929.282,19.7452,1
4970.877,20.0579,1
4912.668,22.3556,1
4000.8201,8.9295,1
7545.5488,10.0601,0
8749.8604,10.3465,1
4788.7607,5.8057,1
6894.1294,4.0214,0
2674.958,4.5129,1
4476.2495,4.5126,1
6241.5132,13.7462,0
1708.1152,15.7159,0
3353.0845,8.9562,1
7179.1445,3.7854,0
7208.5547,3.6485,0
3588.8303,4.7758,1
7407.4829,23.7503,1
7490.9829,23.4847,0
834.3577,6.8238,1
885.2443,5.0225,1
7090.4482,3.4242,1
1077.3878,13.1548,1
3428.4194,4.0112,1
1886.5472,5.5391,0
3680.4126,6.6557,0
8723.8838,4.0015,1
7598.3193,5.4361,1
8592.7432,5.5999,1
7251.8853,4.105,1
161.9179,10.989,1
6197.1538,11.5854,1
8323.5488,11.1314,0
3359.7078,14.8908,1
3657.8223,9.7223,1
8923.8857,6.058,1
4370.1777,9.6254,1
2207.3901,13.0981,1
4932.6279,12.9303,1
6617.3252,15.358,1
2658.6814,19.6727,1
9106.3027,15.4704,1
7897.6323,25.4011,1
6517.0034,19.9833,1
495.358,13.2276,1
1577.0162,18.0895,1
1262.2068,3.2076,1
1547.2942,3.931,1
7299.0439,4.2553,1
5089.0,6.9052,0
8140.0249,11.7086,1
3714.8496,8.857,0
3709.2959,14.121,0
4395.4922,16.4158,1
5851.8271,16.8204,1
3114.3477,21.6923,1
6197.4331,21.7244,1
8831.8701,6.4181,1
5298.668,6.1692,1
569.033,6.7447,1
589.8341,6.27,0
514.6737,11.2942,1
3654.9294,18.9995,1
9101.084,3.5983,1
8704.4014,3.0628,1
6483.147,14.0272,1
9022.8418,4.9669,1
7156.1899,14.9236,1
8895.9434,14.8795,1
208.7821,20.1596,1
1922.2733,20.085,0
3341.8013,22.5025,1
6775.9883,17.5106,1
7370.2686,10.8199,1
3735.6572,25.0893,1
2188.9944,11.0134,1
5066.2603,15.7832,1
5854.6997,10.7611,1
6767.0522,15.4175,1
2342.1287,23.417,1
3710.1628,23.2637,0
6176.8848,18.4754,1
5344.9966,11.0594,1
609.9889,28.5034,1
6832.7168,18.1807,0
5478.6401,16.1863,0
8718.6885,13.3844,1
8739.9863,11.0201,1
9087.8057,18.8703,1
7194.6553,4.6388,0
3317.7329,6.3807,1
6493.4282,4.682,1
7416.6118,6.2658,1
4331.0137,6.585,1
609.2366,3.5675,0
5329.0547,22.272,1
9105.0127,22.0809,1
2979.7527,24.7087,1
2129.7217,29.5478,1
8825.8418,7.8968,1
4008.7305,6.2009,1
7939.0576,5.4193,1
8379.7998,7.2097,0
1016.351,10.6597,1
3394.582,17.4508,1
7167.6323,20.348,0
8266.7637,19.8786,1
618.9825,14.9541,1
1212.8767,22.9363,0
7352.2412,13.9246,1
7359.2002,9.4815,1
831.181,25.5899,1
1848.0598,20.6247,1
6515.3965,25.2389,1
3924.6621,21.9169,1
562.3678,27.7051,1
5418.4819,11.4204,1
9083.7598,11.1522,1
3340.7329,9.3497,1
7174.4854,17.2498,0
7349.9551,21.4679,1
4605.8701,28.7013,1
302.2753,26.3563,1
280.5057,33.9907,1
7834.3994,10.7398,0
4389.6411,5.3688,1
6181.8394,22.4107,1
8143.9087,22.105,1
1855.0001,25.2348,1
1741.6724,13.21,0
405.3136,30.1607,1
614.6527,30.1173,1
8498.1943,7.6876,0
8808.0244,12.6784,1
7270.5962,5.2078,1
2123.3647,18.4664,1
7088.1484,19.1218,1
180.9964,17.4835,1
7072.4375,28.5034,1
1792.152,33.8468,0
6505.8047,10.8034,1
7215.4019,17.006,1
3587.0342,17.0456,1
1867.9847,24.8371,1
1747.4971,26.8031,0
158.4024,21.2503,1
7112.4146,22.1121,1
3386.387,34.6174,1
5448.4512,20.9159,1
3617.1777,18.8173,1
8777.5508,18.2474,1
7893.8208,13.6921,1
1859.038,6.1621,0
3898.4971,4.7214,1
4351.5493,5.4798,1
5080.9795,11.8467,0
1721.0243,5.2885,0
6215.3003,8.6841,0
6489.6533,24.5541,1
6772.1069,21.339,1
3519.7751,22.9807,1
7890.4614,24.0496,1
3935.4929,28.1135,1
5356.0366,5.8337,1
1055.7638,8.149,1
2650.7041,32.7009,1
159.4271,35.4761,1
7528.2935,6.326,0
9165.3027,6.9887,1
2659.7175,14.9499,1
2334.1506,21.1319,1
200.9001,6.4099,1
6184.209,31.5726,1
3622.5708,36.8626,1
7897.0278,36.7785,1
5318.8755,24.0434,1
8760.0986,14.9928,1
8597.8252,16.4831,1
6496.4805,21.9719,1
853.1406,12.9979,1
5358.4209,17.1618,1
6201.2476,29.5665,1
488.8698,32.318,1
1059.5745,32.1282,1
1083.8624,19.7598,1
397.3217,35.2592,1
8121.4453,34.9877,1
5442.2827,14.6968,1
8671.0947,22.3035,1
8656.8857,24.7368,1
6450.2705,15.0158,1
1700.1377,5.2123,1
6191.1938,8.1493,1
5740.293,11.7345,0
3562.1931,28.4271,1
9121.6211,28.9162,1
1903.5885,7.412,0
3722.1318,28.2862,1
7497.356,3.6759,0
7627.7295,10.3761,1
9206.71,4.3534,1
2668.6101,27.2116,1
5353.4229,24.2496,1
309.1643,29.939,1
2638.5188,34.4349,1
3644.9504,34.5601,1
4968.3794,34.2723,1
3492.4148,39.8248,1
5403.96,12.8384,1
5452.8218,29.449,1
7229.6274,16.3224,1
1783.222,35.6096,0
9149.4795,15.3149,1
52.5981,4.6389,1
5217.293,4.696,0
6221.8066,10.5012,0
629.2364,19.1748,1
3429.2288,19.8635,1
395.4431,25.6289,1
874.509,12.7581,1
194.1034,5.0485,1
5046.7222,5.7701,1
5086.9219,36.6389,1
7096.2144,38.8882,1
3416.9839,16.4711,1
8172.8428,41.3452,1
1889.3595,17.0393,1
1919.986,4.4074,0
5468.6758,9.9789,0
3631.2297,9.2556,1
7903.1021,11.3323,1
3913.0229,15.3099,1
848.9684,25.0246,1
6197.8433,37.2221,1
4025.032,35.1833,1
6138.1431,29.2835,1
4456.4878,19.2689,0
578.1288,14.1017,1
7952.5684,30.1286,1
8687.3096,26.9444,1
8258.7031,24.6835,1
165.5027,26.2076,1
8890.583,33.4322,1
8981.957,38.6325,1
4452.6665,24.9336,1
7191.9375,19.9546,0
5441.0508,26.3166,1
3624.105,18.8176,1
8728.5244,15.7534,1
3374.1567,14.5762,1
4319.9917,19.8643,1
7383.1948,6.3149,1
391.9804,9.0127,1
1735.5275,21.0622,0
1752.2382,18.7835,0
5337.2852,7.9303,1
235.8099,33.9939,1
268.2679,42.2651,1
7688.3252,41.8612,1
7925.1074,13.7493,1
8552.4561,7.4445,1
8976.9141,6.8664,1
7074.9219,15.4246,1
208.3019,8.7835,1
7105.8013,28.5585,1
7102.4771,13.0319,1
7557.1021,32.9376,1
5071.8984,31.2368,1
8263.4521,38.2223,1
3413.3806,25.565,1
1278.3665,45.6639,1
3697.7539,19.5553,0
7949.3291,16.3195,1
8989.1475,11.2266,1
8819.4258,28.063,1
6501.3228,33.7359,1
4019.3826,28.5254,1
4753.6455,38.9768,1
540.8629,17.8731,1
3652.0015,26.5568,1
8801.2725,21.9707,1
9063.25,28.8372,1
7226.71,34.2824,1
3524.2881,7.1408,1
1068.0099,30.6145,1
5054.7661,33.2687,1
6507.1006,31.3487,1
5881.2852,34.5952,1
4608.6406,37.3595,1
3405.7961,12.3935,1
7665.7842,40.3885,1
2636.1882,47.1694,1
8256.0967,47.3095,1
3614.8218,39.7847,1
7568.0181,26.6436,1
7933.3359,26.7984,1
8607.5977,12.3345,1
8591.1953,25.4391,1
7114.9365,13.8782,1
4717.3491,41.2475,1
5053.1489,22.9551,1
7661.6064,33.9409,1
2607.1741,41.112,1
7553.5508,48.2682,0
